month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q1,Off-Peak,10431.534,1109,9.405585
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q1,Peak,4615.186,563,8.187684
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q1,Off-Peak,3875.691,370,10.46692
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q1,Peak,1349.266,132,10.186342
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q10,Off-Peak,36929.15,3478,10.6175165
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q10,Peak,13212.662,1451,9.104365
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q10,Off-Peak,14698.853,1319,11.140608
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q10,Peak,5304.275,486,10.8936615
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q100,Off-Peak,12237.094,1039,11.775939
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q100,Peak,4970.471,459,10.813299
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q100,Off-Peak,6097.59,482,12.64784
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q100,Peak,2152.632,174,12.318587
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q101,Off-Peak,9158.0,1016,9.009112
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q101,Peak,4579.616,598,7.655948
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q101,Off-Peak,3155.16,320,9.848505
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q101,Peak,1001.52,111,8.974931
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q102,Off-Peak,7661.7583,949,8.066577
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q102,Peak,3379.4631,471,7.170438
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q102,Off-Peak,3351.215,369,9.064306
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q102,Peak,1143.4661,129,8.835197
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q103,Off-Peak,3066.939,353,8.669527
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q103,Peak,2258.2349,289,7.808588
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q103,Off-Peak,1092.687,113,9.641096
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q103,Peak,577.266,61,9.461439
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q104,Off-Peak,2996.386,438,6.839286
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q104,Peak,1567.323,251,6.231178
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q104,Off-Peak,1078.241,158,6.803259
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q104,Peak,453.23,66,6.7972317
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q11,Off-Peak,10527.874,935,11.250082
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q11,Peak,6221.291,643,9.670438
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q11,Off-Peak,3536.929,294,12.022567
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q11,Peak,1309.073,115,11.314455
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q110,Off-Peak,13708.044,1591,8.610755
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q110,Peak,6738.454,866,7.7757945
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q110,Off-Peak,5170.2593,557,9.281203
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q110,Peak,1720.902,198,8.686878
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q111,Off-Peak,24383.47,2899,8.410219
2020-01-01T00:00:00.000,Queens,1,LCL/LTD,Q111,Peak,10461.794,1437,7.2796335
2020-01-01T00:00:00.000,Queens,2,LCL/LTD,Q111,Off-Peak,10261.01,1091,9.398071
